chapter,content
第一章 数据库系统概论,"数据库技术是信息系统的核心技术和重要基础设施,广泛应用于OLTP、OLAP、CAD/CAM、CIMS、电子商务、电子政务和GIS等领域。"
第一章 数据库系统概论,"数据库技术作为信息系统的基础，支撑着各种应用系统的数据管理需求，包括交易处理、分析处理、设计制造、电子商务等场景。"
第一章 数据库系统概论,"数据库发展经历了三代演变:层次/网状数据库、关系数据库和新一代数据库系统,并造就了多位图灵奖得主。"
第一章 数据库系统概论,"数据是描述事物的符号记录,是数据库中存储的基本对象。"
第一章 数据库系统概论,"数据的种类包括:数值、文字、图形、图像、声音、视频等"
第一章 数据库系统概论,"数据的特点是:数据与其语义不可分"
第一章 数据库系统概论,"数据库DB是长期存储在计算机内、有组织、可共享的大量数据的集合。"
第一章 数据库系统概论,"数据库的基本特征是：数据按一定的数据模型组织、描述和储存;可为各种用户共享;冗余度较小;数据独立性较高;易扩展。"
第一章 数据库系统概论,"数据库管理系统DBMS是位于用户与操作系统之间的一层数据管理软件。"
第一章 数据库系统概论,"数据库管理系统DBMS的用途是:科学地组织和存储数据、高效地获取和维护数据。"
第一章 数据库系统概论,数据库管理系统DBMS主要功能包括数据定义;数据组织存储管理;数据操纵功能;数据库的事务管理与运行管理;数据库建立与维护等。
第一章 数据库系统概论,数据库系统DBS是指在计算机系统中引入数据库和DBMS后的系统构成。
第一章 数据库系统概论,数据库系统DBS的构成是:数据库、数据库管理系统DBMS(及其应用开发工具)、应用系统、数据库管理员DBA组成的存储、管理、处理和维护数据的系统。
第一章 数据库系统概论,数据管理技术是对数据进行分类、组织、编码、存储、检索和维护，是数据处理和数据分析的中心问题。
第一章 数据库系统概论,数据管理技术经历了人工管理阶段、文件系统阶段和数据库系统阶段三个阶段。
第一章 数据库系统概论,"人工管理阶段数据不保存,由应用程序管理,数据面向，无共享,冗余大,数据不具有独立性。"
第一章 数据库系统概论,"文件系统阶段数据由应用程序自己控制,可长期保存,但共享性差、冗余大、独立性差,记录内有结构但整体无结构数据。"
第一章 数据库系统概论,"数据库系统阶段由DBMS统一管理数据,共享性高、冗余小,具有高度的物理独立性和一定的逻辑独立性,数据整体结构化,用数据模型来表示。"
第一章 数据库系统概论,"数据库系统的主要特点包括:整体数据的结构化、数据独立性高(包括物理独立性和逻辑独立性)、数据共享性高、数据由DBMS统一管理和控制。"
第一章 数据库系统概论,"数据的物理独立性指用户的应用程序与存储在物理磁盘上的数据库中数据是相互独立的。当数据的物理存储改变了,应用程序不用改变。"
第一章 数据库系统概论,"数据的逻辑独立性指用户的应用程序与数据库的逻辑结构是相互独立的。数据的逻辑结构改变了，用户程序也可以不变。"
第一章 数据库系统概论,"数据模型是现实世界数据特征的抽象,在数据库中用数据模型(data model)这个工具来抽象描述、组织和处理现实世界中的数据和信息。"
第一章 数据库系统概论,"数据模型应满足三方面要求:能比较真实地模拟现实世界、容易为人所理解、便于在计算机上实现。"
第一章 数据库系统概论,"数据建模是把现实世界的具体事务抽象、组织为某一数据库管理系统支持的数据模型的过程。"
第一章 数据库系统概论,数据建模分为两步:建立概念模型(将现实世界抽象为信息世界)和转将概念模型换为数据模型(将信息世界转换为机器世界)。
第一章 数据库系统概论,"概念模型的用途是:用于信息世界的建模;是现实世界到机器世界的一个中间层次;是数据库设计的有力工具;数据库设计人员和用户之间进行交流的语言。"
第一章 数据库系统概论,"对概念模型的基本要求是:较强的语义表达能力;简单、清晰、易于用户理解;易于更改和扩充易于向各种数据模型进行转换。"
第一章 数据库系统概论,信息世界基本概念包括:实体、属性、码、域、实体型、实体集、联系等。
第一章 数据库系统概论,域的定义是:属性的取值范围称为该属性的域。
第一章 数据库系统概论,属性的定义是:实体所具有的某一特性称为属性;一个实体可以由若干个属性来刻画。
第一章 数据库系统概论,码的定义是:唯一标识实体的属性集称为码。
第一章 数据库系统概论,"联系的定义是:现实世界中,事物内部以及事物之间的联系,在信息世界中反映为实体内部的联系(组成实体的各属性之间的联系)和实体之间的联系(不同实体集之间的联系)。"
第一章 数据库系统概论,"实体联系有一对一、一对多、多对多三种基本类型,可用E-R图表示。"
第一章 数据库系统概论,"实体－联系模型,简称E-R模型,是用E-R图来描述现实世界的概念模型。"
第一章 数据库系统概论,"E-R模型提供了表示实体型、属性和联系的方法。"
第一章 数据库系统概论,"E-R图中实体型用矩形表示,矩形框内写明实体名。"
第一章 数据库系统概论,"E-R图中实体型用椭圆形表示,并用无向边将其与相应的实体连接起来。"
第一章 数据库系统概论,"E-R图中联系本身用菱形表示,菱形框内写明联系名,并用无向边分别与有关实体连接起来,同时在无向边旁标上联系的类型(1:1、1:n或m:n)。"
第一章 数据库系统概论,"E-R图中联系的属性:联系本身也是一种实体型,也可以有属性。如果一个联系具有属性,则这些属性也要用无向边与该联系连起来。"
第一章 数据库系统概论,数据模型三要素是数据结构、数据操作和完整性约束。
第一章 数据库系统概论,"数据结构描述数据库的组成对象及对象之间的联系,是对系统静态特性的描述。"
